label	aaindex	reslike	combined
0.0	0.6969655	3.642932e-05	0.34850097
0.0	0.000115174276	0.067456394	0.033785783
0.0	0.82928884	0.756822	0.7930554
0.0	0.00024950504	0.10396227	0.05210589
0.0	0.10310754	0.97120327	0.5371554
0.0	0.9909824	0.9663843	0.97868335
0.0	0.9145426	0.36924723	0.64189494
0.0	0.90367836	0.26700103	0.58533967
0.0	0.786888	0.9913398	0.8891139
1.0	0.9995742	0.9980134	0.9987938
0.0	0.0003090799	0.30541992	0.1528645
0.0	1.5273945e-05	0.74131936	0.3706673
0.0	0.00043556094	0.94492686	0.47268122
0.0	0.86586463	0.008615404	0.43724
0.0	0.032460093	0.29130822	0.16188416
0.0	0.7009006	0.9871689	0.8440348
0.0	0.04753259	0.13904718	0.09328988
1.0	0.9949601	0.99870217	0.9968312
0.0	0.95053124	0.9093256	0.9299284
0.0	0.20083165	0.83626926	0.51855046
0.0	0.990231	0.8650389	0.92763495
0.0	0.08097473	0.00038301945	0.040678874
0.0	0.947284	0.9881563	0.96772015
0.0	0.3617952	0.93768895	0.64974207
0.0	0.8681334	0.9521041	0.91011876
0.0	0.2933141	0.9876603	0.6404872
0.0	0.9891796	0.9401192	0.96464944
0.0	0.005319923	0.39163765	0.19847879
0.0	0.9986273	0.90635455	0.9524909
0.0	0.0010411143	0.7710918	0.38606647
0.0	0.76010424	0.87115103	0.81562763
0.0	0.02928996	0.0028048158	0.016047388
0.0	0.121207535	0.9769325	0.54907
0.0	0.98038495	0.99723256	0.98880875
0.0	0.9850639	0.64025116	0.81265754
0.0	0.0023931563	0.9768358	0.4896145
0.0	0.9911191	0.9520985	0.97160876
0.0	0.9803926	0.9941381	0.98726535
0.0	0.99767745	0.9798907	0.9887841
0.0	0.17111772	0.021180272	0.096149
0.0	0.9919677	0.99038696	0.9911773
0.0	0.9596591	0.9356506	0.94765484
0.0	0.20880097	0.66013783	0.4344694
0.0	0.9784632	0.9811212	0.9797922
0.0	0.8368097	0.94499767	0.8909037
0.0	0.0009844005	0.11581716	0.05840078
0.0	0.5250569	0.8212651	0.67316103
0.0	0.9768536	0.93891346	0.95788354
0.0	0.94942665	0.98044026	0.96493345
0.0	0.62153846	0.99230874	0.8069236
0.0	0.00013533235	0.81880045	0.40946788
0.0	0.81613964	0.97993577	0.8980377
0.0	0.98244077	0.61464447	0.7985426
0.0	0.713315	0.97776	0.84553754
0.0	0.9604523	0.99314404	0.9767982
0.0	0.8448024	0.9885148	0.9166586
1.0	0.8871757	0.9962808	0.94172823
1.0	0.0061165392	0.94362867	0.4748726
1.0	0.92587984	0.9957397	0.96080977
0.0	0.8458824	0.9698205	0.90785146
0.0	0.7821095	0.924214	0.85316175
0.0	0.99979746	0.97860557	0.98920155
0.0	0.95376384	0.9954895	0.97462666
0.0	0.8677534	0.95936656	0.91356
1.0	0.9944726	0.99916923	0.9968209
0.0	0.9979782	0.99582493	0.9969016
0.0	0.99194336	0.9921332	0.99203825
0.0	0.0032158196	0.016391128	0.009803474
0.0	0.095893145	0.9972736	0.5465834
0.0	0.04783985	0.18326452	0.11555219
0.0	0.95990026	0.9951286	0.9775144
0.0	0.00021868944	0.16486037	0.08253953
0.0	0.9907733	0.9852575	0.9880154
0.0	0.62405264	0.889909	0.75698084
0.0	0.045826912	0.009471208	0.02764906
0.0	8.996484e-07	0.27142566	0.13571328
1.0	0.9923594	0.99027324	0.9913163
1.0	0.9955085	0.99884546	0.997177
0.0	0.9991007	0.9993758	0.99923825
0.0	0.0028255582	0.97259915	0.48771235
0.0	0.012478441	0.8641675	0.43832296
0.0	0.5931411	0.92091227	0.7570267
0.0	0.009976119	0.911536	0.46075606
0.0	0.98247516	0.96509016	0.97378266
0.0	0.9690937	0.9869836	0.97803867
1.0	0.9991052	0.99368733	0.9963963
1.0	0.9164051	0.9905931	0.9534991
0.0	0.8690804	0.9545622	0.9118213
0.0	0.53943723	0.97863394	0.7590356
0.0	0.045859843	0.9936683	0.51976407
0.0	0.4722474	0.93208396	0.70216566
1.0	0.9920874	0.9844414	0.98826444
0.0	0.10625902	0.80849355	0.4573763
0.0	0.024334043	0.020212203	0.022273123
0.0	0.111664295	0.20091286	0.15628858
0.0	0.9919282	0.9833056	0.9876169
0.0	0.0002709329	0.55702025	0.27864558
0.0	0.9963493	0.9895427	0.992946
0.0	0.2749979	0.00016236305	0.13758013
0.0	0.002909243	0.08253071	0.042719975
0.0	0.0011869073	0.7906273	0.3959071
0.0	2.3881523e-05	0.008451819	0.0042378507
0.0	0.9965846	0.99063194	0.99360824
0.0	0.4690276	0.00844726	0.23873743
0.0	0.93561345	0.018863589	0.47723854
0.0	0.9736427	0.99933517	0.98648894
0.0	0.99812484	0.99994177	0.99903333
0.0	0.9781927	0.99780977	0.9880012
0.0	0.9748322	0.99781156	0.98632187
0.0	0.88420486	0.99885494	0.94152987
0.0	0.0024906397	0.65806544	0.33027804
0.0	0.012627214	0.09073016	0.051678687
0.0	0.04876113	0.15476519	0.10176316
0.0	0.109921575	0.16103014	0.13547586
1.0	0.95864177	0.9753175	0.9669796
0.0	0.00010676349	0.04543546	0.02277111
1.0	0.90874135	0.9908085	0.9497749
1.0	0.9198502	0.97542655	0.9476384
0.0	0.98122627	0.9906808	0.98595357
0.0	0.96091163	0.9905257	0.9757187
0.0	0.30500814	0.48439792	0.39470303
0.0	0.07442534	0.37754974	0.22598754
0.0	0.06030014	0.10641882	0.08335948
0.0	0.003307104	0.00063440204	0.001970753
0.0	0.0043543875	0.00034093857	0.002347663
0.0	0.9987738	0.85927767	0.92902577
0.0	0.0007041693	0.007950604	0.0043273866
0.0	1.9515356e-07	0.0031738877	0.0015870414
0.0	3.827935e-05	0.09406981	0.047054045
1.0	0.98052275	0.97427046	0.9773966
0.0	0.26824868	0.93382406	0.60103637
0.0	0.9952073	0.99577105	0.9954892
0.0	0.02172339	0.3929234	0.2073234
0.0	0.99772435	0.9676918	0.9827081
1.0	0.99891907	0.999614	0.9992665
0.0	0.92954934	0.99663866	0.963094
0.0	0.002243042	0.995519	0.498881
0.0	0.97468036	0.9890223	0.98185134
0.0	0.73123085	0.99162775	0.86142933
0.0	0.9897754	0.97642577	0.9831006
0.0	0.34762627	0.99876547	0.67319584
0.0	0.3914892	0.9479339	0.6697116
0.0	1.4183028e-05	0.09558377	0.047798976
0.0	0.0023962557	0.0042829514	0.0033396035
0.0	0.012218177	0.736829	0.37452358
1.0	0.9876988	0.9780388	0.9828688
1.0	0.99912703	0.99806404	0.99859554
0.0	0.8573874	0.9536526	0.90552
0.0	0.6887189	0.10129142	0.39500517
0.0	0.00443846	0.23780978	0.12112412
0.0	0.59853697	0.8553371	0.72693706
0.0	0.0012252927	0.007299781	0.0042625368
0.0	0.0018920302	0.9263026	0.46409732
0.0	0.14341876	0.49709028	0.3202545
0.0	0.0022434592	0.0006708503	0.0014571548
0.0	0.16931075	0.8805685	0.52493966
0.0	0.003024131	0.024633974	0.013829052
0.0	0.13880596	0.5827406	0.36077327
0.0	0.9739041	0.8159397	0.8949219
1.0	0.99496496	0.82057726	0.9077711
1.0	0.99786985	0.995962	0.99691594
0.0	0.16560856	0.028024942	0.09681675
1.0	0.99964225	0.93511814	0.96738017
0.0	0.0046391487	0.48867995	0.24665955
0.0	0.9943764	0.8595316	0.92695403
0.0	0.2388727	0.13087565	0.18487418
0.0	0.00541839	0.79125214	0.39833528
1.0	0.9978683	0.9985523	0.9982103
1.0	0.8785023	0.950923	0.91471267
0.0	4.7898866e-05	0.15598881	0.07801835
0.0	0.9972585	0.96465683	0.9809576
0.0	0.48032922	0.4770354	0.4786823
0.0	0.9213139	0.124871284	0.52309257
0.0	0.9771439	0.97972274	0.9784333
0.0	0.99379253	0.9646776	0.97923505
0.0	0.8167522	0.42691588	0.62183404
0.0	0.49172217	0.9641826	0.72795236
0.0	0.9949007	0.99800706	0.9964539
